Chocolatey v2.6.0
7zip 25.1.0
7zip.install 25.1.0
activitywatch 0.13.2
advancedrun 1.51.0
autohotkey 2.0.19
autohotkey.install 2.0.19
autoruns 14.11.0
azure-cli 2.80.0
cascadiacode 2404.23.0
cascadiacodeitalic 2404.23.0
cascadiacodepl 2404.23.0
cascadiacodepl-italic 2404.23.0
cascadiafonts 2404.23.0
cascadiamono 2404.23.0
cascadiamonoitalic 2404.23.0
cascadiamonopl 2404.23.0
cascadiamonopl-italic 2404.23.0
chocolatey 2.6.0
chocolatey-compatibility.extension 1.0.0
chocolatey-core.extension 1.4.0
chocolatey-dotnetfx.extension 1.0.1
chocolatey-font-helpers.extension 0.0.4
chocolatey-windowsupdate.extension 1.0.5
clink-maintained 1.7.22
ConEmu 23.7.24
dependencies 1.11.1
dependencywalker 2.2.6000.9
dive 0.13.1
dnspy 6.1.8
DotNet4.5.2 4.5.2.20140902
DotNet4.6 4.6.81.20150925
dotnet4.7.1 4.7.2558.20190226
dotnet4.7.2 4.7.2.20210903
dotnet-7.0-desktopruntime 7.0.20
dotnet-7.0-sdk 7.0.410
dotnet-7.0-sdk-3xx 7.0.317
dotnet-7.0-sdk-4xx 7.0.410
dotnet-8.0-desktopruntime 8.0.22
dotnet-8.0-sdk 8.0.413
dotnet-8.0-sdk-2xx 8.0.206
dotnet-8.0-sdk-4xx 8.0.413
dotnet-9.0-desktopruntime 9.0.8
dotnet-9.0-sdk 9.0.304
dotnet-9.0-sdk-2xx 9.0.205
dotnet-9.0-sdk-3xx 9.0.304
dotnet-desktopruntime 9.0.8
dotnetfx 4.8.0.20220524
dotnet-sdk 9.0.304
drawio 28.2.8
dust 1.2.3
es 1.1.0.30
Everything 1.4.11030
ffmpeg 8.0.0
FiraCode 6.2.0
fusionplusplus 1.5.0
fzf 0.59.0
gdu 5.31.0
gh 2.83.1
git.install 2.51.0
gitbutler 0.15.12
git-fork 2.11.1
gitui 0.27.0
godu 1.5.2
golang 1.25.4
go-task 3.44.1
graphviz 13.1.2
greenshot 1.2.10.6
hyperfine 1.19.0
insomnia-rest-api-client 2023.11.2
iperf3 3.16.0
jfrog-cli 2.80.0
jfrog-cli-v2-jf 2.80.0
jq 1.8.1
KB2919355 1.0.20160915
KB2919442 1.0.20160915
KB2999226 1.0.20181019
KB3033929 1.0.5
KB3035131 1.0.3
KB3063858 1.0.0
KB3118401 1.0.5
keepass 2.59.0
keepass.install 2.59.0
lazygit 0.55.1
linqpad7.install 7.8.10
lossless-cut 3.65.0
meld 3.22.2
microsoftazurestorageexplorer 1.39.1
microsoft-windows-terminal 1.22.12111
mise 2025.9.10
mRemoteNG 1.76.20.24615
msbuild-structured-log-viewer 2.3.42
nerd-fonts-FiraCode 3.4.0
netfx-4.7.2 4.7.2
nmap 7.98.0
notepadplusplus 8.8.8
notepadplusplus.install 8.8.8
nsudo 8.0.1
nuget.commandline 6.14.0
NugetPackageExplorer 6.2.19
obs-studio 30.1.2
obs-studio.install 30.1.2
openlens 6.5.2.3660
openssl 3.5.2
paint.net 5.1.11
pandoc 3.8.2.1
path-copy-copy 20.0.0
postman 11.46.6
powershell-core 7.5.4
powertoys 0.96.0
putty 0.83.0
putty.portable 0.83.0
ripgrep 14.1.0
sbom-tool-cli 2.2.3
scc 3.1.0.20221202
sharex 18.0.1
shellcheck 0.9.0
starship 1.24.1
starship.install 1.24.1
syft 1.31.0
sysinternals 2025.2.13
systeminformer 3.2.25011
t-clock 2.4.4.492
textify 1.10.4
treesizefree 4.7.3.1
trivy 0.67.2
vcredist140 14.44.35211
vcredist2010 10.0.40219.32503
vcredist2015 14.0.24215.20170201
vcredist2017 14.16.27052
vim 9.1.1919
vlc 3.0.21
vlc.install 3.0.21
vscode 1.103.2
vscode.install 1.103.2
winmerge 2.16.50
winscp 6.5.3
winscp.install 6.5.3
wiztree 4.26.0
yt-dlp 2025.8.20
139 packages installed.
